id,Label
ARYA,Arya
BERIC,Beric
BOTH,Both
BRAN,Bran
BRIENNE,Brienne
BRONN,Bronn
CERSEI,Cersei
DAENERYS,Daenerys
DAVOS,Davos
DORNISH PRINCE,Dornish prince
EDD,Edd
EURION,Eurion
EURON,Euron
GENDRY,Gendry
GILLY,Gilly
GREY WORM,Grey worm
HARRAG,Harrag
HOUND,Hound
IRONBORN LORD,Ironborn lord
JAIME,Jaime
JON,Jon
JORAH,Jorah
LITTLEFINGER,Littlefinger
LYANNA,Lyanna
MARTHA,Martha
MELISANDRE,Melisandre
MISSANDEI,Missandei
NORA,Nora
OWEN,Owen
PODRICK,Podrick
QYBURN,Qyburn
RIVERLANDS LORD,Riverlands lord
ROBIN,Robin
SAM,Sam
SAMWELL,Samwell
SANDOR,Sandor
SANSA,Sansa
TEELA,Teela
THE HOUND,The hound
THEON,Theon
TORMUND,Tormund
TYRION,Tyrion
UNSULLIED,Unsullied
VALE LORD,Vale lord
VARYS,Varys
VICKY,Vicky
WILLA,Willa
YARA,Yara
YOHN ROYCE,Yohn royce
UNSULLIED CAPTAIN,Unsullied captain
RHAEGAR,Rhaegar
EDMURE,Edmure
MAESTER WOLKAN,Maester wolkan
